layer_name,prompt,num_runs,mean_Z_increase,max_Z_increase,mean_input_ssim,min_input_ssim,mean_output_ssim,mean_output_l2,invalid_count
unet.conv_in,add black sunglasses,4,0.21154563128948212,0.32920217514038086,0.3020170023664832,0.049726929515600204,0.15972444880753756,0.2457826156169176,3
unet.conv_in,add headphones,4,0.21266011893749237,0.32914865016937256,0.27422945434227586,0.012063074856996536,0.24732054956257343,0.2533459775149822,3
unet.mid_block,add black sunglasses,4,0.0,0.0,0.9802088886499405,0.9768469333648682,0.9799469113349915,0.047722529619932175,0
unet.mid_block,add headphones,4,0.0,0.0,0.9802088886499405,0.9768469333648682,0.9606754332780838,0.06297899689525366,0
unet.up_blocks.0,add black sunglasses,4,0.0,0.0,0.9802088886499405,0.9768469333648682,0.9799469113349915,0.047722529619932175,0
unet.up_blocks.0,add headphones,4,0.0,0.0,0.9802088886499405,0.9768469333648682,0.9606754332780838,0.06297899689525366,0
vae_image_latent,add black sunglasses,4,0.00010228157043457031,0.0003517270088195801,0.9710277020931244,0.9547019004821777,0.9721560925245285,0.055554671213030815,0
vae_image_latent,add headphones,4,0.0028339922428131104,0.011278867721557617,0.9332923293113708,0.8164190649986267,0.9141131341457367,0.08586608152836561,1
