layer_name,module_path,module_type,candidate_group,output_type,output_shape,dtype,device,number_of_elements,estimated_memory,hook_error
unet.down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_v,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_v,Linear,self_attention,torch.Tensor,"[1, 1024, 640]",torch.float16,cuda:0,655360,1.25,
unet.down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_out,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_out,ModuleList,self_attention,,None,,,,,
unet.down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_out.0,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_out.0,Linear,self_attention,torch.Tensor,"[1, 1024, 640]",torch.float16,cuda:0,655360,1.25,
unet.down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_out.1,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_out.1,Dropout,self_attention,torch.Tensor,"[1, 1024, 640]",torch.float16,cuda:0,655360,1.25,
unet.down_blocks.1.attentions.1.transformer_blocks.0.norm2,unet.down_blocks.1.attentions.1.transformer_blocks.0.norm2,LayerNorm,transformer_block,torch.Tensor,"[1, 1024, 640]",torch.float16,cuda:0,655360,1.25,
unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2,Attention,cross_attention,torch.Tensor,"[1, 1024, 640]",torch.float16,cuda:0,655360,1.25,
unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_q,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_q,Linear,cross_attention,torch.Tensor,"[1, 1024, 640]",torch.float16,cuda:0,655360,1.25,
unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_k,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_k,Linear,cross_attention,torch.Tensor,"[1, 77, 640]",torch.float16,cuda:0,49280,0.093994140625,
unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,Linear,cross_attention,torch.Tensor,"[1, 77, 640]",torch.float16,cuda:0,49280,0.093994140625,
unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_out,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_out,ModuleList,cross_attention,,None,,,,,
unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_out.0,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_out.0,Linear,cross_attention,torch.Tensor,"[1, 1024, 640]",torch.float16,cuda:0,655360,1.25,
unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_out.1,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_out.1,Dropout,cross_attention,torch.Tensor,"[1, 1024, 640]",torch.float16,cuda:0,655360,1.25,
unet.down_blocks.1.attentions.1.transformer_blocks.0.norm3,unet.down_blocks.1.attentions.1.transformer_blocks.0.norm3,LayerNorm,transformer_block,torch.Tensor,"[1, 1024, 640]",torch.float16,cuda:0,655360,1.25,
unet.down_blocks.1.attentions.1.transformer_blocks.0.ff,unet.down_blocks.1.attentions.1.transformer_blocks.0.ff,FeedForward,feed_forward,torch.Tensor,"[1, 1024, 640]",torch.float16,cuda:0,655360,1.25,
