layer_name,module_path,module_type,parent_block,candidate_group,supports_forward_hook,output_type,output_shape,dtype,device,output_dtype,output_device,number_of_elements,estimated_memory,estimated_memory_mb,hook_error,num_parameters
unet.up_blocks.1.attentions.0.transformer_blocks.0.ff.net.2,unet.up_blocks.1.attentions.0.transformer_blocks.0.ff.net.2,Linear,unet.up_blocks.1,feed_forward,True,torch.Tensor,"[1, 256, 1280]",torch.float16,cuda:0,torch.float16,cuda:0,327680,0.625,0.625,,6554880
unet.up_blocks.1.attentions.1.transformer_blocks,unet.up_blocks.1.attentions.1.transformer_blocks,ModuleList,unet.up_blocks.1,transformer_block,True,,,,,,,,,,,0
unet.up_blocks.1.attentions.1.transformer_blocks.0,unet.up_blocks.1.attentions.1.transformer_blocks.0,BasicTransformerBlock,unet.up_blocks.1,transformer_block,True,torch.Tensor,"[1, 256, 1280]",torch.float16,cuda:0,torch.float16,cuda:0,327680,0.625,0.625,,0
unet.up_blocks.1.attentions.1.transformer_blocks.0.norm1,unet.up_blocks.1.attentions.1.transformer_blocks.0.norm1,LayerNorm,unet.up_blocks.1,transformer_block,True,torch.Tensor,"[1, 256, 1280]",torch.float16,cuda:0,torch.float16,cuda:0,327680,0.625,0.625,,2560
unet.up_blocks.1.attentions.1.transformer_blocks.0.attn1,unet.up_blocks.1.attentions.1.transformer_blocks.0.attn1,Attention,unet.up_blocks.1,self_attention,True,torch.Tensor,"[1, 256, 1280]",torch.float16,cuda:0,torch.float16,cuda:0,327680,0.625,0.625,,0
unet.up_blocks.1.attentions.1.transformer_blocks.0.attn1.to_q,unet.up_blocks.1.attentions.1.transformer_blocks.0.attn1.to_q,Linear,unet.up_blocks.1,self_attention,True,torch.Tensor,"[1, 256, 1280]",torch.float16,cuda:0,torch.float16,cuda:0,327680,0.625,0.625,,1638400
unet.up_blocks.1.attentions.1.transformer_blocks.0.attn1.to_k,unet.up_blocks.1.attentions.1.transformer_blocks.0.attn1.to_k,Linear,unet.up_blocks.1,self_attention,True,torch.Tensor,"[1, 256, 1280]",torch.float16,cuda:0,torch.float16,cuda:0,327680,0.625,0.625,,1638400
unet.up_blocks.1.attentions.1.transformer_blocks.0.attn1.to_v,unet.up_blocks.1.attentions.1.transformer_blocks.0.attn1.to_v,Linear,unet.up_blocks.1,self_attention,True,torch.Tensor,"[1, 256, 1280]",torch.float16,cuda:0,torch.float16,cuda:0,327680,0.625,0.625,,1638400
unet.up_blocks.1.attentions.1.transformer_blocks.0.attn1.to_out,unet.up_blocks.1.attentions.1.transformer_blocks.0.attn1.to_out,ModuleList,unet.up_blocks.1,self_attention,True,,,,,,,,,,,0
unet.up_blocks.1.attentions.1.transformer_blocks.0.attn1.to_out.0,unet.up_blocks.1.attentions.1.transformer_blocks.0.attn1.to_out.0,Linear,unet.up_blocks.1,self_attention,True,torch.Tensor,"[1, 256, 1280]",torch.float16,cuda:0,torch.float16,cuda:0,327680,0.625,0.625,,1639680
