layer_name,timestep_index,mean_identity_separation,mean_identity_auc,num_conditions
unet.up_blocks.0,14,8.160058783475681e-05,0.5638036449147561,2
unet.down_blocks.0.attentions.1.transformer_blocks.0.ff.net.1,3,8.136929658354914e-05,0.5496707818930041,2
unet.down_blocks.2.attentions.1.transformer_blocks.0.ff,6,8.075555796345708e-05,0.5432745443856555,2
unet.down_blocks.0.attentions.1.transformer_blocks.0.ff.net.1,6,7.657556937485142e-05,0.5461022927689594,2
unet.up_blocks.1.attentions.1.transformer_blocks.0,6,7.63615918537927e-05,0.5526748971193416,2
unet.up_blocks.2.attentions.1.transformer_blocks.0.ff.net.0.proj,6,7.45757231636653e-05,0.53554379776602,2
unet.down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_k,10,7.411941649421817e-05,0.5351028806584361,2
unet.up_blocks.2.attentions.1.transformer_blocks.0.attn1.to_v,14,7.232749272906584e-05,0.5295002939447384,2
unet.down_blocks.1.attentions.1.transformer_blocks.0.ff.net.0,3,7.117974064337518e-05,0.5428982951205173,2
unet.down_blocks.3,6,6.992974609294268e-05,0.5436801881246326,2
unet.down_blocks.2,6,6.926949062044656e-05,0.5418342151675485,2
unet.down_blocks.1,6,6.647661880210596e-05,0.5346678424456203,2
unet.down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_k,14,5.826237340452806e-05,0.5351028806584363,2
unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_out.1,3,5.81017246952763e-05,0.5385773074661964,2
unet.mid_block,10,5.574390371009783e-05,0.5460023515579071,2
unet.down_blocks.2,14,5.571179919772678e-05,0.5414462081128748,2
unet.down_blocks.2,10,5.521619761431659e-05,0.541957671957672,2
unet.up_blocks.3.attentions.2.transformer_blocks.0.norm3,6,5.454427350765816e-05,0.5444562022339801,2
unet.down_blocks.1.attentions.1.transformer_blocks.0.ff.net.0,6,5.435584083436027e-05,0.5366196355085244,2
unet.mid_block,14,5.348249087257993e-05,0.5433744855967078,2
unet.down_blocks.3,10,5.248885936837979e-05,0.5424985302763081,2
unet.down_blocks.3,14,5.2377502754251794e-05,0.5413580246913581,2
unet.up_blocks.1.attentions.0.transformer_blocks.0.norm2,10,5.1214770665244404e-05,0.5416872427983539,2
unet.down_blocks.1,14,5.1169105307765814e-05,0.5366196355085244,2
unet.up_blocks.2,6,5.0973419159177746e-05,0.5379541446208113,2
unet.down_blocks.1,10,5.013832339534059e-05,0.536901822457378,2
unet.down_blocks.2.attentions.1.transformer_blocks.0.attn1,10,4.903730891999742e-05,0.5348677248677249,2
unet.up_blocks.1,6,4.836292493911015e-05,0.5384773662551441,2
unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_q,6,4.649811951571673e-05,0.5291475602586714,2
unet.up_blocks.2,14,4.577759712461445e-05,0.5374015285126397,2
unet.up_blocks.1.attentions.1.transformer_blocks.0,10,4.575858040461466e-05,0.5518518518518518,2
unet.up_blocks.2,10,4.532498026651045e-05,0.5379306290417402,2
unet.up_blocks.1.attentions.0.transformer_blocks.0.norm2,14,4.03775109185113e-05,0.5385479129923574,2
unet.up_blocks.1,14,3.809030093843976e-05,0.5383186360964138,2
unet.up_blocks.1,10,3.790499041320155e-05,0.5389594356261023,2
unet.down_blocks.2.attentions.1.transformer_blocks.0.attn1,14,3.690293857029506e-05,0.5344914756025867,2
unet.up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_out.0,6,3.619329639212792e-05,0.5380599647266313,2
unet.up_blocks.1.attentions.1.transformer_blocks.0,14,3.3920561825787553e-05,0.5477542621987066,2
unet.up_blocks.1.attentions.2.transformer_blocks.0.ff.net.2,6,3.2356239500499904e-05,0.535949441504997,2
unet.down_blocks.0.attentions.1.transformer_blocks.0.ff.net.1,10,3.0978552248112095e-05,0.5483127572016461,2
unet.down_blocks.2.attentions.1.transformer_blocks.0.ff,10,3.0125890459333128e-05,0.5387713109935333,2
